b_TQ,b_LQ,state,Tstar,Mprime
1.95530726,0.11173184,1,7.4180258132e-01,-6.5471512590e-01
1.98324022,0.11173184,1,7.3850874828e-01,-6.5352159655e-01
2.01117318,0.11173184,1,7.3526485153e-01,-6.5233125962e-01
2.03910615,0.11173184,1,7.3206953786e-01,-6.5114439524e-01
2.06703911,0.11173184,1,7.2892150725e-01,-6.4996126135e-01
2.09497207,0.11173184,1,7.2581951012e-01,-6.4878209530e-01
2.12290503,0.11173184,1,7.2276234477e-01,-6.4760711530e-01
2.15083799,0.11173184,1,7.1974885500e-01,-6.4643652176e-01
2.17877095,0.11173184,1,7.1677792783e-01,-6.4527049854e-01
2.20670391,0.11173184,1,7.1384849142e-01,-6.4410921411e-01
2.23463687,0.11173184,1,7.1095951303e-01,-6.4295282258e-01
2.26256983,0.11173184,1,7.0810999722e-01,-6.4180146473e-01
2.29050279,0.11173184,1,7.0529898403e-01,-6.4065526889e-01
2.31843575,0.11173184,1,7.0252554736e-01,-6.3951435182e-01
2.34636872,0.11173184,1,6.9978879339e-01,-6.3837881948e-01
2.37430168,0.11173184,1,6.9708785913e-01,-6.3724876774e-01
2.40223464,0.11173184,1,6.9442191100e-01,-6.3612428311e-01
2.43016760,0.11173184,1,6.9179014353e-01,-6.3500544333e-01
2.45810056,0.11173184,1,6.8919177813e-01,-6.3389231798e-01
2.48603352,0.11173184,1,6.8662606190e-01,-6.3278496901e-01
2.51396648,0.11173184,1,6.8409226653e-01,-6.3168345128e-01
2.54189944,0.11173184,1,6.8158968725e-01,-6.3058781299e-01
2.56983240,0.11173184,1,6.7911764184e-01,-6.2949809618e-01
2.59776536,0.11173184,1,6.7667546966e-01,-6.2841433707e-01
2.62569832,0.11173184,1,6.7426253078e-01,-6.2733656653e-01
2.65363128,0.11173184,1,6.7187820512e-01,-6.2626481036e-01
2.68156425,0.11173184,1,6.6952189167e-01,-6.2519908968e-01
2.70949721,0.11173184,1,6.6719300767e-01,-6.2413942122e-01
2.73743017,0.11173184,1,6.6489098792e-01,-6.2308581764e-01
2.76536313,0.11173184,1,6.6261528411e-01,-6.2203828775e-01
2.79329609,0.11173184,1,6.6036536410e-01,-6.2099683682e-01
2.82122905,0.11173184,1,6.5814071133e-01,-6.1996146679e-01
2.84916201,0.11173184,1,6.5594082425e-01,-6.1893217653e-01
2.87709497,0.11173184,1,6.5376521567e-01,-6.1790896200e-01
2.90502793,0.11173184,1,6.5161341232e-01,-6.1689181647e-01
2.93296089,0.11173184,1,6.4948495424e-01,-6.1588073072e-01
2.96089385,0.11173184,1,6.4737939436e-01,-6.1487569321e-01
2.98882682,0.11173184,1,6.4529629798e-01,-6.1387669020e-01
3.01675978,0.11173184,1,6.4323524234e-01,-6.1288370596e-01
3.04469274,0.11173184,1,6.4119581619e-01,-6.1189672288e-01
3.07262570,0.11173184,1,6.3917761939e-01,-6.1091572160e-01
3.10055866,0.11173184,1,6.3718026249e-01,-6.0994068116e-01
3.12849162,0.11173184,1,6.3520336639e-01,-6.0897157909e-01
3.15642458,0.11173184,1,6.3324656193e-01,-6.0800839155e-01
3.18435754,0.11173184,1,6.3130948963e-01,-6.0705109339e-01
3.21229050,0.11173184,1,6.2939179926e-01,-6.0609965831e-01
3.24022346,0.11173184,1,6.2749314961e-01,-6.0515405888e-01
3.26815642,0.11173184,1,6.2561320813e-01,-6.0421426668e-01
3.29608939,0.11173184,1,6.2375165068e-01,-6.0328025237e-01
3.32402235,0.11173184,1,6.2190816124e-01,-6.0235198574e-01
3.35195531,0.11173184,1,6.2008243162e-01,-6.0142943581e-01
3.37988827,0.11173184,1,6.1827416124e-01,-6.0051257088e-01
3.40782123,0.11173184,1,6.1648305687e-01,-5.9960135861e-01
3.43575419,0.11173184,1,6.1470883240e-01,-5.9869576604e-01
3.46368715,0.11173184,1,6.1295120859e-01,-5.9779575971e-01
3.49162011,0.11173184,1,6.1120991289e-01,-5.9690130565e-01
3.51955307,0.11173184,1,6.0948467920e-01,-5.9601236945e-01
3.54748603,0.11173184,1,6.0777524769e-01,-5.9512891633e-01
3.57541899,0.11173184,1,6.0608136461e-01,-5.9425091115e-01
3.60335196,0.11173184,1,6.0440278206e-01,-5.9337831846e-01
3.63128492,0.11173184,1,6.0273925789e-01,-5.9251110255e-01
3.65921788,0.11173184,1,6.0109055544e-01,-5.9164922748e-01
3.68715084,0.11173184,1,5.9945644345e-01,-5.9079265709e-01
3.71508380,0.11173184,1,5.9783669585e-01,-5.8994135508e-01
3.74301676,0.11173184,1,5.9623109163e-01,-5.8909528498e-01
3.77094972,0.11173184,1,5.9463941469e-01,-5.8825441024e-01
3.79888268,0.11173184,1,5.9306145369e-01,-5.8741869421e-01
3.82681564,0.11173184,1,5.9149700192e-01,-5.8658810018e-01
3.85474860,0.11173184,1,5.8994585717e-01,-5.8576259140e-01
3.88268156,0.11173184,1,5.8840782157e-01,-5.8494213111e-01
